ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2019-09-19,549.0724824114343,373.8012521747987,507.66913290989686,549.0724824114343,549.0724824114343,-109.29884019642604,-109.29884019642604,-109.29884019642604,0.06422142509989376,0.06422142509989376,0.06422142509989376,-109.36306162152594,-109.36306162152594,-109.36306162152594,0.0,0.0,0.0,439.77364221500824
2019-09-20,549.0964591229362,373.20033335976626,498.8366503516168,549.0964591229362,549.0964591229362,-116.84933065305823,-116.84933065305823,-116.84933065305823,0.04002952219219491,0.04002952219219491,0.04002952219219491,-116.88936017525042,-116.88936017525042,-116.88936017525042,0.0,0.0,0.0,432.2471284698779
2019-09-21,549.120435834438,360.31648412077294,495.0070744850649,549.120435834438,549.120435834438,-124.56715083061881,-124.56715083061881,-124.56715083061881,-0.11505053589198296,-0.11505053589198296,-0.11505053589198296,-124.45210029472685,-124.45210029472685,-124.45210029472685,0.0,0.0,0.0,424.5532850038192
2019-09-22,549.1444125459399,351.4101577983068,483.98549741325564,549.1444125459399,549.1444125459399,-132.12477650035297,-132.12477650035297,-132.12477650035297,-0.08353906302925525,-0.08353906302925525,-0.08353906302925525,-132.0412374373237,-132.0412374373237,-132.0412374373237,0.0,0.0,0.0,417.01963604558694
2019-09-23,549.1683892574416,342.36155700489286,471.979812431429,549.1683892574416,549.1683892574416,-139.44735652825472,-139.44735652825472,-139.44735652825472,0.19924884569491425,0.19924884569491425,0.19924884569491425,-139.6466053739496,-139.6466053739496,-139.6466053739496,0.0,0.0,0.0,409.7210327291869
2019-09-24,549.1923659689435,336.52323986273836,464.6969045198615,549.1923659689435,549.1923659689435,-147.2413544142867,-147.2413544142867,-147.2413544142867,0.0165724022886177,0.0165724022886177,0.0165724022886177,-147.25792681657532,-147.25792681657532,-147.25792681657532,0.0,0.0,0.0,401.9510115546568
2019-09-25,549.2163426804453,329.80323949175516,462.1808473069083,549.2163426804453,549.2163426804453,-154.986299113209,-154.986299113209,-154.986299113209,-0.12148259635461188,-0.12148259635461188,-0.12148259635461188,-154.86481651685435,-154.86481651685435,-154.86481651685435,0.0,0.0,0.0,394.23004356723635
2019-09-26,549.2403193919472,324.32859546549827,454.5200049060906,549.2403193919472,549.2403193919472,-162.39255650409575,-162.39255650409575,-162.39255650409575,0.06422142509990879,0.06422142509990879,0.06422142509990879,-162.45677792919565,-162.45677792919565,-162.45677792919565,0.0,0.0,0.0,386.84776288785145
2019-09-27,549.264296103449,308.512718063909,438.75983320595685,549.264296103449,549.264296103449,-169.98316529483168,-169.98316529483168,-169.98316529483168,0.04002952219253739,0.04002952219253739,0.04002952219253739,-170.02319481702423,-170.02319481702423,-170.02319481702423,0.0,0.0,0.0,379.2811308086174
2019-09-28,549.2882728149508,306.64065002535256,436.77790664799375,549.2882728149508,549.2882728149508,-177.66836995187066,-177.66836995187066,-177.66836995187066,-0.11505053589211285,-0.11505053589211285,-0.11505053589211285,-177.55331941597856,-177.55331941597856,-177.55331941597856,0.0,0.0,0.0,371.61990286308014
2019-09-29,549.3122495264525,302.5062794742084,433.037065929945,549.3122495264525,549.3122495264525,-185.1197980117288,-185.1197980117288,-185.1197980117288,-0.08353906302904165,-0.08353906302904165,-0.08353906302904165,-185.03625894869975,-185.03625894869975,-185.03625894869975,0.0,0.0,0.0,364.19245151472376
2019-09-30,549.3362262379544,294.60371333430777,419.14509502075197,549.3362262379544,549.3362262379544,-192.2617135575207,-192.2617135575207,-192.2617135575207,0.19924884569507625,0.19924884569507625,0.19924884569507625,-192.46096240321575,-192.46096240321575,-192.46096240321575,0.0,0.0,0.0,357.0745126804337
2019-10-01,549.3602029494563,284.84034488384566,414.0326718910053,549.3602029494563,549.3602029494563,-199.79963713765326,-199.79963713765326,-199.79963713765326,0.016572402289009407,0.016572402289009407,0.016572402289009407,-199.81620953994226,-199.81620953994226,-199.81620953994226,0.0,0.0,0.0,349.56056581180303
2019-10-02,549.3841796609581,282.74983215642413,408.38817255896,549.3841796609581,549.3841796609581,-207.21208667026443,-207.21208667026443,-207.21208667026443,-0.12148259635471524,-0.12148259635471524,-0.12148259635471524,-207.0906040739097,-207.0906040739097,-207.0906040739097,0.0,0.0,0.0,342.1720929906937
